job,company,location,salary,exp
Customer Relationship and Support Officer,Rwi Consulting,Tangerang,IDR700.000 - 1.500.000,Kurang dari setahun
SEO Specialist,PT. Media Digitech Indonesia,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Brand Manager (D2C Fashion Brand),Pt. Sahabat Promosi Anda,Tangerang,IDR8.000.000 - 10.000.000,1 – 3 tahun
IoT Engineer,PT. Paskal Kreatif Teknologi,"Kebayoran Baru, Jakarta",IDR6.800.000 - 8.000.000,1 – 3 tahun
UI/UX Designer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 17.000.000,3 – 5 tahun
Business Development Specialist (Brand),Jakmall.com,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
CUSTOMER SERVICE,CV.KRISTIAN JAYA,Surabaya,IDR2.000.000 - 4.500.000,Kurang dari setahun
Digital Marketing Strategist,PT Astronacci International,"Kelapa Gading, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Sales Admin Part Time (Weekend),Kindnation Group,"Kembangan, Jakarta",IDR800.000 - 1.200.000,Kurang dari setahun
Crew Store and Customer Service - Zapplerepair,Zapplerepair Jakarta,"Mampang Prapatan, Jakarta",IDR2.500.000 - 3.000.000,Kurang dari setahun
Accounting and Finance Staff,Vybes,"Senayan, Jakarta",IDR6.000.000 - 8.000.100,1 – 3 tahun
REACT DEVELOPER,PT. FEBE TEKNOLOGI DIGITAL,"Kebon Jeruk, Jakarta",IDR5.000.000 - 8.000.000,1 – 3 tahun
Seafood Quality Control - Maluku Area,eKan,Ambon,IDR3.000.000 - 7.000.000,1 – 3 tahun
Sales Operations Executive (Location free),KKBC INDONESIA (PT. BRAND COMMUNICATIONS INDONESIA),Jakarta,IDR5.000.000 - 8.000.000,1 – 3 tahun
Kepala Gudang,Pt Nusa Unggul Sarana Adicipta,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
STAFF PURCHASING,PT. Jaya Pratama Groserindo Bali,Denpasar,Company prefers not to disclose,Kurang dari setahun
Kepala Gudang,Pt Nusa Unggul Sarana Adicipta,Semarang,IDR100 - 200,1 – 3 tahun
IT Support,PT Visionet Data Internasional,Tangerang,Company prefers not to disclose,Kurang dari setahun
Admin Finance (Gunung Putri),Panca Budi Group,Bogor,Company prefers not to disclose,1 – 3 tahun
Marketing Executive,Kiki Setiawan & Partners Law Office,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Marketing Staf,Laboratorium Klinik Westerindo,Batam,IDR4.000.000,1 – 3 tahun
People Associate,Tentang Anak,Jakarta,IDR100 - 200,1 – 3 tahun
Human Resources Lead,MOI Group,Yogyakarta,IDR2.500.000 - 4.000.000,1 – 3 tahun
Internship Account Operator,PT. Borwita Indah,"Kuningan, Jakarta",IDR100 - 200,Kurang dari setahun
Technical Writer,Terralogiq,Kemang,IDR5.000.000 - 6.000.000,1 – 3 tahun
Human Resources Intern (Remote),Shirvano Consulting,Yogyakarta,Company prefers not to disclose,Kurang dari setahun
Quality Assurance (Material/ Line Bag/ Embroidery),PT. Eksonindo Multi Product Industry,Bandung,IDR3.500.000 - 4.500.000,1 – 3 tahun
Human Resources development (WFO),Breadnbeyond,Surabaya,IDR4.500.000 - 6.000.000,1 – 3 tahun
Legal Officer,Adminkita.com,"Kembangan, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
HC Development Staff (Contract Based),PT. Berlian Sistem Informasi,Jakarta,IDR4.500.000 - 5.500.000,1 – 3 tahun
Sales Manager / Marketing Leader,Pt. Tiga Pilar Familia,"Penjaringan, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Front-end Developer,Beit Inovasi Tiwikrama,Bogor,IDR6.000.000 - 7.500.000,1 – 3 tahun
CREDIT ADMINISTRATION SUPPORT,Hidup Arthagraha,Semarang,IDR2.000.000 - 3.500.000,1 – 3 tahun
Operations Support - Yogyakarta,Lalamove Indonesia,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Social Media Specialist,Hon&yan,"Penjaringan, Jakarta",IDR4.000.000,1 – 3 tahun
Administrasi Kantor Perwakilan Bogor,PT. Bumi Aksara,Bogor,Company prefers not to disclose,Kurang dari setahun
Tax Intern,Pt Temas. Tbk,"Sunter, Jakarta",IDR100 - 200,
IT Support Technician,Javamifi,Jakarta,Company prefers not to disclose,1 – 3 tahun
IT Security,PT. Asian Sigma Technology,"Cilandak, Jakarta",IDR7.000.000 - 10.000.000,3 – 5 tahun
Public Relation Associate,Fabil Natural (cv Alfajr Insan Mulia),Bogor,IDR2.500.000 - 3.500.000,Kurang dari setahun
Content Creator,Lastday Production,Tangerang,IDR4.000.000 - 4.500.000,1 – 3 tahun
Business Development Manager (Urbane Room),Mitra Aplikasi Digital,"Tebet, Jakarta",IDR7.000.000 - 12.000.000,1 – 3 tahun
Brand Marketing Intern,Skintific Cosmetics Ltd,Jakarta,IDR100 - 200,Kurang dari setahun
Assistant Brand Manager,"PT Matahari Department Store, Tbk.",Tangerang,Company prefers not to disclose,1 – 3 tahun
Creative Marketing Communication Officer,Kapanlagi Youniverse,"Menteng, Jakarta",IDR100 - 200,1 – 3 tahun
Content Creator,Lamonte Mode,Depok,Company prefers not to disclose,Kurang dari setahun
Content Creator Tiktok,PT. Tripacific Electrindo,"Gambir, Jakarta",IDR4.500.000 - 5.000.000,Kurang dari setahun
Admin Finance General,PT. Jaya Berdikari Teknologi Informatika,"Kebon Jeruk, Jakarta",Company prefers not to disclose,1 – 3 tahun
Scratch Tutor,Kodland Indonesia,Jakarta,IDR90.000,1 – 3 tahun
Front-End Developer,PT Quantum Sistem Intermatika,Bekasi,Company prefers not to disclose,1 – 3 tahun
Marketing Coordinator,Nord-lock Pte Ltd,Jakarta,IDR5.500.000 - 8.000.000,1 – 3 tahun
Accounting Manager,Avrist General Insurance,"Blok M, Jakarta",IDR100 - 200,3 – 5 tahun
Finance Operation,The Jakarta Post,"Palmerah, Jakarta",Company prefers not to disclose,Kurang dari setahun
Business Consultant,Solid Group Jakarta,"Tanah Abang, Jakarta",IDR4.500.000 - 80.000.000,Kurang dari setahun
