job,company,location,salary,exp
Accounting Officer,Quipper,Jakarta,IDR8.000.000 - 10.000.000,1 – 3 tahun
Sales Counter Tangerang,PT. Onna Prima Utama,Tangerang,IDR4.500.000,Kurang dari setahun
Fotografer/Videografer,Lilybelleclothing,"Taman Sari, Jakarta",IDR3.500.000 - 4.500.000,Kurang dari setahun
Operator Provider,PT Markaz Jalan Bersama,Serpong,IDR2.500.000 - 5.000.000,Kurang dari setahun
Tax Staff,Pt Temas. Tbk,"Sunter, Jakarta",IDR100 - 200,1 – 3 tahun
Online Event Support (Freelance),Accoladia Group,"Cipayung, Jakarta",IDR100 - 200,Kurang dari setahun
Product Manager,MIFX Indonesia,"Menteng, Jakarta",IDR100 - 200,1 – 3 tahun
Finance - Tax -  Accounting - Administration,PT. Arpu Selaras Cemerlang (Indodisplay),Bandung,Company prefers not to disclose,1 – 3 tahun
SUPERVISOR HRD PABRIK,PT Gracia Pharmindo,Bandung,IDR100 - 200,3 – 5 tahun
Web Developer Internship,PT. Mega Harapan Mulia (Kelas.com),"Grogol Petamburan, Jakarta",IDR4.650.000 - 5.100.000,1 – 3 tahun
Import Staff,PT Elang Mas Indoasia,"Cengkareng, Jakarta",IDR4.500.000 - 6.000.000,1 – 3 tahun
Senior Software Engineer,HReasily,Jakarta,IDR30.000.000 - 40.000.000,Lebih dari 10 tahun
Senior Marketing Manager,Pintar Ventura Pertama,"Gambir, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
SENIOR SALES AND MARKETING FOR HIGH END FURNITURE,PT. Southhampton Furnitur Indonesia,"Grogol Petamburan, Jakarta",IDR8.000.000 - 9.000.000,3 – 5 tahun
English Teacher,LENGUA,Surabaya,IDR4.500.000 - 5.500.000,1 – 3 tahun
Graphic Designer,Pt Artisan Studio Indonesia,Solo,IDR2.500.000 - 3.000.000,Kurang dari setahun
SPV PRODUKSI,Yummys Motherlacto Indonesia,Driyorejo,IDR2.000.000 - 37.000.000,Kurang dari setahun
Finance Accounting Tax (FAT),Pt Jaya Evogad Mandiri,Tangerang,IDR4.200.000 - 6.000.000,1 – 3 tahun
Product Specialist - Accurate Accounting Software,Pt Cipta Piranti Sejahtera,Tangerang,IDR4.500.000 - 5.500.000,Kurang dari setahun
SALES ENGINEER - SEMARANG,Pt. Arianto Darmawan,Semarang,IDR5.000.000 - 7.000.000,1 – 3 tahun
Campaign Support Officer,Pt Creatorz Media Network,South Tangerang,Company prefers not to disclose,Kurang dari setahun
Graphic Designer,Livinode (pt. Aleia Terang Buana),Surabaya,IDR4.000.000 - 5.000.000,1 – 3 tahun
KEPALA GUDANG,Success Jaya Group,Madiun,Company prefers not to disclose,1 – 3 tahun
PELAKSANA LAPANGAN,PT BANGUN KARYA PERKASA JAYA Tbk.,Surabaya,Company prefers not to disclose,3 – 5 tahun
HR Generalist,Aksoro,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
TELEMARKETING,PT Cyber Futures Jakarta,"Kuningan, Jakarta",IDR3.000.000 - 15.000.000,Kurang dari setahun
Marketplace Specialist,PT Distributor Gadget Indonesia,"Gambir, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
HR Manager,PT Panorama Sentrawisata Tbk,"Grogol Petamburan, Jakarta",IDR100 - 200,5 – 10 tahun
Database Administrator,Pt Nusa Unggul Sarana Adicipta,Surabaya,Company prefers not to disclose,1 – 3 tahun
Social Media Executive,Scrb : The Scrub Project,Jakarta,IDR5.000.000,1 – 3 tahun
Creative Design Staff,PT Sumber Kosmetika Indah,Tangerang,Company prefers not to disclose,1 – 3 tahun
Video Editor,Zero One Group,Jakarta,IDR6.000.000 - 8.000.000,1 – 3 tahun
Customer Service Online,CoverSuper Indonesia,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
sales gym BEKASI,Osbond Gym,Bekasi,IDR4.500.000 - 5.000.000,Kurang dari setahun
SENIOR HRD,Lamonte Mode,Depok,IDR3.500.000 - 4.500.000,1 – 3 tahun
Python Developer,PT Mplus Solusi Perdana,"Cilandak, Jakarta",IDR7.000.000 - 12.000.000,1 – 3 tahun
Desain Grafis,PT. Bumi Aksara,Jakarta,IDR4.000.000 - 4.300.000,1 – 3 tahun
Digital Marketing,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Software Engineer,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Customer Service/English-Mandarin Interpreter/Translator - WFH,GP Outsourcing Asia,Jakarta,IDR16.000.000 - 16.000.100,Kurang dari setahun
Business Development and Partnership (Internship),Akulaku Indonesia,"Tanah Abang, Jakarta",Company prefers not to disclose,Kurang dari setahun
Business Development and Partnership (Internship),Akulaku Indonesia,"Tanah Abang, Jakarta",Company prefers not to disclose,Kurang dari setahun
Business Development and Partnership (Internship),Akulaku Indonesia,"Tanah Abang, Jakarta",Company prefers not to disclose,Kurang dari setahun
DICARI KARYAWAN WANITA BAGIAN ADMIN DAN PURCHASING,CV. BERKAT,Surabaya,IDR1.800.000 - 2.100.000,1 – 3 tahun
Business Development,PT Indonesia Digital Entertainment,Jakarta,Company prefers not to disclose,1 – 3 tahun
Online English-Mandarin Interpreter/ Translator / contact Center,GP Outsourcing Asia,Medan,IDR16.000.000 - 16.000.100,Kurang dari setahun
Senior Fullstack Engineer,GP Outsourcing Asia,Medan,IDR16.000.000 - 16.000.100,Kurang dari setahun
IT Operasional,Pt Nusa Unggul Sarana Adicipta,Surabaya,IDR100 - 200,1 – 3 tahun
IT Operasional,Pt Nusa Unggul Sarana Adicipta,Surabaya,IDR100 - 200,1 – 3 tahun
IT Operasional,Pt Nusa Unggul Sarana Adicipta,Surabaya,IDR100 - 200,1 – 3 tahun
Junior Backend Developer,Pt Nusa Unggul Sarana Adicipta,Surabaya,IDR100 - 200,1 – 3 tahun
Business Analyst,Pt Nusa Unggul Sarana Adicipta,Surabaya,IDR100 - 200,1 – 3 tahun
Project Secretary,Pt Studio Artalenta Indonesia,Seminyak town,IDR5.000.000 - 8.000.000,1 – 3 tahun
Fullstack Developer,Pt Studio Artalenta Indonesia,Seminyak town,IDR5.000.000 - 8.000.000,1 – 3 tahun
Application Analyst,Pt Studio Artalenta Indonesia,Seminyak town,IDR5.000.000 - 8.000.000,1 – 3 tahun
Jr iOS Engineer,Pt Studio Artalenta Indonesia,Seminyak town,IDR5.000.000 - 8.000.000,1 – 3 tahun
Technology Development Program,PT. Elevenia Digital Teknologi Sukses (part of Salim Group),Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
QA Engineer,PT. Elevenia Digital Teknologi Sukses (part of Salim Group),Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Professional Product Owner,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 30.000.000,1 – 3 tahun
Backend Developer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 30.000.000,1 – 3 tahun
Backend Developer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 30.000.000,1 – 3 tahun
Senior Sales,PT. STAHL ARBEIT,Cikarang,IDR6.000.000 - 7.000.000,1 – 3 tahun
ADMIN KOL,Pt Mahakarya Sukses Indonesia,"Pademangan, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Business Development Associate,Super Creator Tech Pte.ltd.,Bandung,IDR1.000.000 - 1.500.000,1 – 3 tahun
KEPALA PRODUKSI GARMENT,Lamonte Mode,Depok,IDR2.000.000 - 3.000.000,1 – 3 tahun
Backend NodeJS Developer,Lamonte Mode,Depok,IDR2.000.000 - 3.000.000,1 – 3 tahun
Frontend ReactJS Developer,Lamonte Mode,Depok,IDR2.000.000 - 3.000.000,1 – 3 tahun
.Net Developer,Lamonte Mode,Depok,IDR2.000.000 - 3.000.000,1 – 3 tahun
.Net Developer,Lamonte Mode,Depok,IDR2.000.000 - 3.000.000,1 – 3 tahun
Marketing Manager,Pt. Sahabat Promosi Anda,Jakarta,IDR8.000.000 - 12.500.000,5 – 10 tahun
Social Media Specialist,Benscrub,"Menteng, Jakarta",IDR10.000.000,1 – 3 tahun
Mid-Level Fullstack MERN Developer,Benscrub,"Menteng, Jakarta",IDR10.000.000,1 – 3 tahun
SALES EXECUTIVE,PT Manxi Image Perkasa,Yogyakarta,IDR1.500.000 - 8.000.000,Kurang dari setahun
QA Engineer (Junior),PT Manxi Image Perkasa,Yogyakarta,IDR1.500.000 - 8.000.000,Kurang dari setahun
QA Manual,PT Code Development Indonesia,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Marketing & Partnership Manager,PT Code Development Indonesia,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Marketing & Partnership Manager,PT Code Development Indonesia,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
IT DATABASE DEVELOPER,Ogya Tekno Nusantara,Jakarta,IDR100 - 200,3 – 5 tahun
Enterprise Software Sales Manager,PT Raja Suryadarma Multimedia (K1NG Corporation),"Grogol Petamburan, Jakarta",IDR8.000.000 - 15.000.000,1 – 3 tahun
DCTSM,PT Raja Suryadarma Multimedia (K1NG Corporation),"Grogol Petamburan, Jakarta",IDR8.000.000 - 15.000.000,1 – 3 tahun
Delivery Lead,PT Raja Suryadarma Multimedia (K1NG Corporation),"Grogol Petamburan, Jakarta",IDR8.000.000 - 15.000.000,1 – 3 tahun
Jr Fullstack Developer,PT Raja Suryadarma Multimedia (K1NG Corporation),"Grogol Petamburan, Jakarta",IDR8.000.000 - 15.000.000,1 – 3 tahun
Food And Beverage Manager,PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR7.300.000 - 7.500.000,3 – 5 tahun
Head of Growth,PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR7.300.000 - 7.500.000,3 – 5 tahun
Forex Investment Trader,AWE Global Investments Pte Ltd,Jakarta,IDR5.000.000 - 8.000.000,3 – 5 tahun
Odoo Functional Consultant (Full-WFH During COVID-19),Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Junior Telemarketer,Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Senior Frontend Developer,Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Sr. Java Developer,Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Fullstack Developer,Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Fullstack Developer,Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Fullstack Developer,Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Human Resources Officer,Pt Digital Talent Indonesia,Jakarta,IDR5.000.000,1 – 3 tahun
Data Scientist,PT. Kulego Tiga Kreasi,Jakarta,Company prefers not to disclose,1 – 3 tahun
Application Support,PT. Kulego Tiga Kreasi,Jakarta,Company prefers not to disclose,1 – 3 tahun
Production Manager - Pematang Siantar,PT. Kulego Tiga Kreasi,Jakarta,Company prefers not to disclose,1 – 3 tahun
Wood Purchasing Manager - Pematang Siantar,PT. Kulego Tiga Kreasi,Jakarta,Company prefers not to disclose,1 – 3 tahun
Business Development,PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Fullstack Developer (.Net & React),PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Senior Programmer,PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Senior Programmer,PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Fullstack Developer,PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Area Marketing Manager - Medan,PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Product Operation/Operation Manager,PT. Hatata Ecommerce Technology,Jakarta,IDR4.600.000,1 – 3 tahun
Call Center Project,Emos Global Digital,"Pulo Gadung, Jakarta",Company prefers not to disclose,Kurang dari setahun
2D Background Illustrator,Pt Kumata Indonesia,Bandung,Company prefers not to disclose,1 – 3 tahun
Project Manager,Kaji Business Consulting & Creative Agency,Bandung,IDR3.500.000 - 5.000.000,1 – 3 tahun
Admin Marketplace,Pt Jaya Evogad Mandiri,Tangerang,IDR3.700.000 - 5.000.000,1 – 3 tahun
Area Marketing Manager - Bandung,Pt Jaya Evogad Mandiri,Tangerang,IDR3.700.000 - 5.000.000,1 – 3 tahun
Agen Manager - Pekanbaru,Pt Jaya Evogad Mandiri,Tangerang,IDR3.700.000 - 5.000.000,1 – 3 tahun
Agen Manager - Kalimantan,Pt Jaya Evogad Mandiri,Tangerang,IDR3.700.000 - 5.000.000,1 – 3 tahun
UI/UX Designer,PT. Nawa Data Solutions,Jakarta,IDR8.000.000 - 10.000.000,3 – 5 tahun
Mobile Developer (Full-Time),Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
Mobile Developer (Full-Time),Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
Fullstack Developer,Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
QA Engineer,Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
QA Engineer,Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
Product Manager,Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
Business Manager,Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
UI / UX Designer,Mitra Aplikasi Digital,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.100,1 – 3 tahun
Finance Accounting,Pt Digital Talent Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Quality Assurance,Pt Digital Talent Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Fullstack Developer,Pt Digital Talent Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Customer Experience Specialist,PT. Indo Teknologi Utama,"Tanah Abang, Jakarta",Company prefers not to disclose,1 – 3 tahun
Product Genius (BMW),PT. ARTHA MOTOR LESTARI,Medan,IDR6.000.000 - 8.000.000,3 – 5 tahun
Product Genius (BMW),PT. ARTHA MOTOR LESTARI,Medan,IDR6.000.000 - 8.000.000,3 – 5 tahun
Game Developer,PT. ARTHA MOTOR LESTARI,Medan,IDR6.000.000 - 8.000.000,3 – 5 tahun
Backend Developer,PT. ARTHA MOTOR LESTARI,Medan,IDR6.000.000 - 8.000.000,3 – 5 tahun
Game Designer,PT. ARTHA MOTOR LESTARI,Medan,IDR6.000.000 - 8.000.000,3 – 5 tahun
IT Support Staff,PT. International Test Center,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Business Development and Partnership,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 6.000.000,1 – 3 tahun
Telemarketer,Digipack.id,"Kemayoran, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Front End,Digipack.id,"Kemayoran, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
DevOps,Digipack.id,"Kemayoran, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Digital Marketing Manager,Digipack.id,"Kemayoran, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Procurement Project Administrator,Pt Studio Artalenta Indonesia,Badung,IDR4.000.000 - 6.000.000,Kurang dari setahun
Fullstack Web3 Engineer,Pt Studio Artalenta Indonesia,Badung,IDR4.000.000 - 6.000.000,Kurang dari setahun
Customer Success Manager,Pt Studio Artalenta Indonesia,Badung,IDR4.000.000 - 6.000.000,Kurang dari setahun
Customer Success Manager,Pt Studio Artalenta Indonesia,Badung,IDR4.000.000 - 6.000.000,Kurang dari setahun
Assistant Director - Internship,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR1.000.000 - 7.000.000,1 – 3 tahun
Accounting and Finance,PT. Sekarmas Nusantara,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Back-End Developer,PT Quantum Sistem Intermatika,Bekasi,Company prefers not to disclose,1 – 3 tahun
Mid Java Developer - B,PT Quantum Sistem Intermatika,Bekasi,Company prefers not to disclose,1 – 3 tahun
IT Security Manager,PT Quantum Sistem Intermatika,Bekasi,Company prefers not to disclose,1 – 3 tahun
Digital Marketing Specialist,VocaGame,Surabaya,IDR3.000.000 - 7.000.000,
High-Performance DPI Engineer,VocaGame,Surabaya,IDR3.000.000 - 7.000.000,
Junior Frontend Developer,VocaGame,Surabaya,IDR3.000.000 - 7.000.000,
Growth Marketer,VocaGame,Surabaya,IDR3.000.000 - 7.000.000,
Junior Full Stack Developer,VocaGame,Surabaya,IDR3.000.000 - 7.000.000,
Network Engineer (Internship),PT Nusantara Compnet Integrator,"Kebon Jeruk, Jakarta",Company prefers not to disclose,Kurang dari setahun
FINANCE STAFF,Pt Orientama Makmur Abadi,Tangerang,Company prefers not to disclose,1 – 3 tahun
FINANCE STAFF,Pt Orientama Makmur Abadi,Tangerang,Company prefers not to disclose,1 – 3 tahun
Digital Marketing Specialist,FREELENS,Bandung,Company prefers not to disclose,Kurang dari setahun
PHP Developer - NodeJS (610),Senja,"Senayan, Jakarta",IDR7.000.000 - 20.000.000,5 – 10 tahun
Backend Engineer NodeJS,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR10.000.000 - 24.000.000,1 – 3 tahun
Staff Marketing,SIMGROUP,Banjarmasin,IDR4.000.000 - 5.500.000,Kurang dari setahun
Customer Success & Project Implementation Executive,SIMGROUP,Banjarmasin,IDR4.000.000 - 5.500.000,Kurang dari setahun
Business Development,SIMGROUP,Banjarmasin,IDR4.000.000 - 5.500.000,Kurang dari setahun
Senior iOS Developer,SIMGROUP,Banjarmasin,IDR4.000.000 - 5.500.000,Kurang dari setahun
Senior iOS Developer,SIMGROUP,Banjarmasin,IDR4.000.000 - 5.500.000,Kurang dari setahun
Dosen Manajemen,Universitas Bunda Mulia - Kampus Serpong,Tangerang,Company prefers not to disclose,1 – 3 tahun
Junior HR,Pt Studio Artalenta Indonesia,Badung,Company prefers not to disclose,1 – 3 tahun
QA Lead,Pt Studio Artalenta Indonesia,Badung,Company prefers not to disclose,1 – 3 tahun
Partnership Operations (Internship),Akulaku Indonesia,"Tanah Abang, Jakarta",Company prefers not to disclose,Kurang dari setahun
IT Business Analyst,PT. Asian Sigma Technology,"SCBD, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
React Native,PT. Asian Sigma Technology,"SCBD, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
QA Engineer,PT. Asian Sigma Technology,"SCBD, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
Analytics Specialist,PT. Asian Sigma Technology,"SCBD, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
Machine Learning Engineer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR8.000.000 - 24.000.000,1 – 3 tahun
Staff QC,PT Superior Prima Sukses,Sragen,Company prefers not to disclose,1 – 3 tahun
Mobile Developer - Android,PT Superior Prima Sukses,Sragen,Company prefers not to disclose,1 – 3 tahun
Project Manager,PT Superior Prima Sukses,Sragen,Company prefers not to disclose,1 – 3 tahun
Junior Backend Engineer,PT Superior Prima Sukses,Sragen,Company prefers not to disclose,1 – 3 tahun
Brand  & Marketing Manager,PT Rintik Natural Indonesia,Bandar Lampung,IDR6.000.000 - 9.000.000,1 – 3 tahun
Sales Project,Pt Tak Products And Services,Tangerang,IDR6.000.000 - 8.000.000,1 – 3 tahun
Compliance Officer,Pt Tak Products And Services,Tangerang,IDR6.000.000 - 8.000.000,1 – 3 tahun
Finance  Accounting,Bstores Indonesia,Jakarta,IDR4.000.000 - 5.000.000,1 – 3 tahun
Acc / Finance,Bstores Indonesia,Jakarta,IDR4.000.000 - 5.000.000,1 – 3 tahun
Full Stack Developer - IoT and Fintech startup,Movus Technologies,Jakarta,IDR8.000.000 - 16.000.000,1 – 3 tahun
Full Stack Developer - IoT and Fintech startup,Movus Technologies,Jakarta,IDR8.000.000 - 16.000.000,1 – 3 tahun
Full Stack Developer - IoT and Fintech startup,Movus Technologies,Jakarta,IDR8.000.000 - 16.000.000,1 – 3 tahun
Software Engineer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Senior Full Stack Engineer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Product Owner,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Product Owner,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Product Owner,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Manual QA Tester,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Manual QA Tester,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Unity Developer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Metaverse Designer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Fullstack Developer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Frontend Web Developer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Backend Engineer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Freelance Digital Designer,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Business Consultant,HReasily,Jakarta,IDR7.000.000 - 17.000.000,3 – 5 tahun
Barista,PT Muara Juara Kreasi Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Translation Mandarin Specialist,Pt Qinfa Mining Industri,Banjarmasin,IDR10.000.000 - 20.000.000,Kurang dari setahun
